Emotion,Score (bin),Testflag,Id,Tweet,Number of Records
anger,0.30,train,10690,"-- haired man strides close and watches as the Major flinches away from him, the reaction draws a growl from his throat.  -- (@DocHQuinzel)",1
anger,0.50,train,10367,.@LEAFYSZERKER @markiplier is that an insult? Sounds like a job well done. it's red so it's done the job it was suppose to do #justsaying,1
anger,0.55,train,10304,.@RepDelBene: 'Today's proceedings and the entire process is an insult to our constituents.',1
anger,0.35,train,10654,"“Do not fret if you are not cool! Humans who follow me, become instantly cool!” #Bot",1
anger,0.35,train,10706,"{Strong hands moving to firmly grope each of @WhimsicallyWild's thighs, squeezing as her digging nails extract a growl from me.}",1
anger,0.25,train,10785,@_Inferno217_ @PaladinsGame ummm that dragons fury though..,1
anger,0.40,train,10521,@1VoiceMatters @MichaelTPremo just got wind of #MenForChoice and it doesn't infuriate me. Just makes me sad for the generation.,1
anger,0.45,train,10442,"@a_mxe7 hah don't speak to me or my cousin like that, mind a had the displeasure of seeing u bare faced on eh train, no a pretty sight mate",1
anger,0.45,train,10476,@AaronGoodwin seriously dude buy some bubble tape for your phones. #snap broke another phone,1
anger,0.50,train,10418,@AgentTinsley I believe that's what you call the fury of the righteous.,1
anger,0.55,train,10239,@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking. #Hillary #divide  #chaos,1
anger,0.50,train,10347,@Alanafergusson snap meee,1
anger,0.55,train,10262,@alicehouston18 sorry I'm just angry my drone flew away,1
anger,0.55,train,10286,"@AllegedLowbrow It's 'Eye-for-Eye'. Indian Army never forgives, Never Forgets. They always take revenge, Pakistan breaks laws, I.A follows",1
anger,0.50,train,10362,@ArcadianLuthier -- taking out his feelings on Kei unfairly. His lips form a frown as he tries to walk away.,1
anger,0.85,train,10016,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,1
anger,0.50,train,10313,"@aroseblush Hello !\nThe bigger the bully, the more crocodile tears. Bullies always act like offended victims.",1
anger,0.50,train,10393,@arppaul @chetanlfc @mannkakhiladi @dey_spandan @umeroffcial  Comparing Akshay Sir with this zandu balm is an insult to Akshay Sir.,1
anger,0.50,train,10416,@ashleighjessica @zacflint1 I'd give that pout the firm D,1
anger,0.60,train,10218,"@AskPS_UK not received verification email, asked for it to be resent 5 times still nothing.",1
anger,0.45,train,10472,@AudreyKare i'm like half expecting some rabid troll to come into my mentions accusing me of being a csa apologist or something lmao,1
anger,0.40,train,10520,@AuntieSupreme @KimberlyCarole y'all found me to express yalls displeasure. 😉,1
anger,0.10,train,10844,@Aurena1701 @AngryOrchard he didn't sting me luckily. He just flew off happy and drunk. Lolololol,1
anger,0.60,train,10208,@Austin4evaLEEDS fuming!,1
anger,0.15,train,10714,@BarackObama I love Lizzy Warren's latest rage against Wall Street.,1
anger,0.45,train,10486,@BearGrylls for your next series will u do a celebrity firefighting show and just chuck them all in a burning building and do the voiceover?,1
anger,0.45,train,10579,"@BIGGKATZ BUT arms (focused rage) is overpowered, it will be getting nerfed. It'll still be stronger than fury though",1
anger,0.40,train,10556,@billburr DirectTV is the best. Apparently you just sit in silent anger. 'Don't press or say anything',1
anger,0.40,train,10545,@bismahmalik .....Seems like a fight ready to rage on.....,1
anger,0.40,train,10553,"@BonesARP 'That is a disappointment.'\n\nHe fakes a pout, then starts to chuckle.",1
anger,0.50,train,10389,"@BosNaud so scared to ruffle feathers, he resorted to writing in cryptic code. #UncleCamsCabin",1
anger,0.75,train,10129,"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",1
anger,0.65,train,10126,@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery? . #iphonePhoneHome,1
anger,0.75,train,10034,@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,1
anger,0.10,train,10847,@Callidissima @ahouseingotham wrath of khan is one of the best movies of all time,1
anger,0.55,train,10263,@carefreeash_ id be fuming,1
anger,0.60,train,10213,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",1
anger,0.10,train,10850,@cburt43 turn that frown upside down,1
anger,0.20,train,10767,@CharlotteBnntt that's the joke. I know it's incense,1
anger,0.60,train,10196,@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,1
anger,0.65,train,10148,@cineworld 'Congratulations your Free 1 month has been activated' Then charges £34.80 the same month. Absolutely furious 😡,1
anger,0.40,train,10533,"@clarechampion @Westclarepage and peter your radio piece on off the ball was pure class , no digs , no revenge , a total balanced pro ! 👏👏👏",1
anger,0.55,train,10246,@CorbettBarr @pjrvs @brianclark true. Just me spitting venom because I'm still bitter with Stripe. Like an old man yelling from his porch.,1
anger,0.10,train,10851,@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30,1
anger,0.35,train,10709,@CrayonToCrayon @SueScoby \nIt's always fun to anger 'All the Old Dudes.' with Rock N' Roll :)),1
anger,0.45,train,10466,@danrafaelespn no Tyson fury beat the man who been at top for years Danny Garcia should be above Bradley pacquaio frampton,1
